Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
FaceFour,32.3,0.522,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,17.64,0.297,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,17.67,0.283,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.77,0.558,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.19,0.511,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.18,0.512,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.25,0.604,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,30.63,0.457,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.5,0.595,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,30.8,0.576,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,32.22,0.56,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,29.12,0.497,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,29.1,0.506,100,96.5909,24,88,350,0.3,0.6,10
FaceFour,30.01,0.495,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,29.7,0.529,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.28,0.522,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.43,0.518,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,17.59,0.279,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,32.74,0.541,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,17.65,0.338,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,29.86,0.555,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,30.18,0.5,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,30.19,0.518,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.29,0.518,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.45,0.516,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.49,0.512,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.48,0.534,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,31.65,0.486,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.16,0.475,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.18,0.548,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,30.15,0.522,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,29.58,0.494,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,30.27,0.518,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.71,0.574,100,87.5,24,88,350,0.3,0.6,10
FaceFour,32.05,0.472,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,17.71,0.318,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,17.93,0.277,100,96.5909,24,88,350,0.3,0.6,10
FaceFour,29.22,0.541,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.64,0.514,100,96.5909,24,88,350,0.3,0.6,10
FaceFour,30.03,0.453,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.05,0.494,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.43,0.537,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.43,0.529,100,97.7273,24,88,350,0.3,0.6,10
FaceFour,30.54,0.556,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.64,0.597,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,32.11,0.507,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,29,0.558,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,30.41,0.532,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.05,0.559,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.27,0.537,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.5,0.583,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,17.58,0.258,100,96.5909,24,88,350,0.3,0.6,10
FaceFour,18.05,0.317,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,31.92,0.468,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.62,0.557,100,93.1818,24,88,350,0.3,0.6,10
FaceFour,29.77,0.572,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30,0.554,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.22,0.495,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.42,0.512,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,30.4,0.561,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.42,0.557,100,96.5909,24,88,350,0.3,0.6,10
FaceFour,32.33,0.495,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,29.14,0.497,100,94.3182,24,88,350,0.3,0.6,10
FaceFour,30.17,0.583,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,29.82,0.499,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,29.95,0.539,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,30.32,0.517,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,32.03,0.471,100,92.0455,24,88,350,0.3,0.6,10
FaceFour,17.66,0.308,100,90.9091,24,88,350,0.3,0.6,10
FaceFour,17.69,0.3,100,95.4545,24,88,350,0.3,0.6,10
FaceFour,30.51,0.561,100,93.1818,24,88,350,0.3,0.6,10
FacesUCR,15694.36,3.478,100,86.439,200,2050,131,0.3,0.6,10
FacesUCR,16761.98,3.347,100,86.0488,200,2050,131,0.3,0.6,10
FacesUCR,17184.41,3.291,100,85.2195,200,2050,131,0.3,0.6,10
FacesUCR,18044.2,3.492,100,85.9512,200,2050,131,0.3,0.6,10
FacesUCR,18177.24,3.474,100,85.561,200,2050,131,0.3,0.6,10
FacesUCR,18323.69,3.34,100,85.0732,200,2050,131,0.3,0.6,10
FacesUCR,18495.39,3.298,100,85.7073,200,2050,131,0.3,0.6,10
FacesUCR,18816.91,3.565,100,84.8293,200,2050,131,0.3,0.6,10
FacesUCR,18954.79,3.541,100,85.7561,200,2050,131,0.3,0.6,10
FacesUCR,19605.61,3.365,100,84.9268,200,2050,131,0.3,0.6,10
FacesUCR,19568.87,3.393,100,84.9268,200,2050,131,0.3,0.6,10
FacesUCR,19887.23,3.255,100,85.1707,200,2050,131,0.3,0.6,10
FacesUCR,20114.97,3.485,100,85.3171,200,2050,131,0.3,0.6,10
FacesUCR,20310.56,3.503,100,85.3659,200,2050,131,0.3,0.6,10
FacesUCR,20400.66,3.36,100,87.5122,200,2050,131,0.3,0.6,10
FacesUCR,20327.49,3.625,100,84.8293,200,2050,131,0.3,0.6,10
FacesUCR,20717.8,3.282,100,84.7805,200,2050,131,0.3,0.6,10
FacesUCR,21227.2,3.376,100,85.6585,200,2050,131,0.3,0.6,10
FacesUCR,21445.52,3.339,100,85.8049,200,2050,131,0.3,0.6,10
FacesUCR,21766,3.273,100,85.5122,200,2050,131,0.3,0.6,10
FacesUCR,22184.37,3.461,100,85.8537,200,2050,131,0.3,0.6,10
FacesUCR,22147.54,3.535,100,87.2195,200,2050,131,0.3,0.6,10
FacesUCR,22165.5,3.681,100,86.9756,200,2050,131,0.3,0.6,10
FacesUCR,22524.57,3.442,100,85.7561,200,2050,131,0.3,0.6,10
FacesUCR,22918.7,3.326,100,85.122,200,2050,131,0.3,0.6,10
FacesUCR,23040.62,3.424,100,86.4878,200,2050,131,0.3,0.6,10
FacesUCR,23057.17,3.565,100,85.8049,200,2050,131,0.3,0.6,10
FacesUCR,23362.04,3.409,100,84.8293,200,2050,131,0.3,0.6,10
FacesUCR,23689.73,3.402,100,86.0976,200,2050,131,0.3,0.6,10
FacesUCR,23813.96,3.274,100,85.3171,200,2050,131,0.3,0.6,10
FacesUCR,23808.32,3.494,100,85.561,200,2050,131,0.3,0.6,10
FacesUCR,24045.08,3.354,100,84.6829,200,2050,131,0.3,0.6,10
FacesUCR,24133.49,3.233,100,84.3902,200,2050,131,0.3,0.6,10
FacesUCR,24146.25,2.923,100,84.6829,200,2050,131,0.3,0.6,10
FacesUCR,24376.19,3.312,100,85.0732,200,2050,131,0.3,0.6,10
FacesUCR,24585.3,3.26,100,85.3171,200,2050,131,0.3,0.6,10
FacesUCR,24698.33,3.407,100,87.6098,200,2050,131,0.3,0.6,10
FacesUCR,24655.37,3.257,100,84.439,200,2050,131,0.3,0.6,10
FacesUCR,24923.7,3.537,100,85.122,200,2050,131,0.3,0.6,10
FacesUCR,25078.92,3.556,100,85.2195,200,2050,131,0.3,0.6,10
FacesUCR,24993.22,3.322,100,84.439,200,2050,131,0.3,0.6,10
FacesUCR,25069.09,3.527,100,84.1951,200,2050,131,0.3,0.6,10
FacesUCR,25634.3,3.552,100,84.1463,200,2050,131,0.3,0.6,10
FacesUCR,25720.49,3.528,100,86.0976,200,2050,131,0.3,0.6,10
FacesUCR,25969.66,3.387,100,85.7561,200,2050,131,0.3,0.6,10
