Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ArrowHead,0.66,0.011,100,70.2857,36,175,251,0.9,1
ArrowHead,0.86,0.017,100,66.2857,36,175,251,0.9,1
ArrowHead,0.91,0.028,100,69.1429,36,175,251,0.9,1
ArrowHead,0.75,0.019,100,68.5714,36,175,251,0.9,1
ArrowHead,0.9,0.018,100,67.4286,36,175,251,0.9,1
ArrowHead,0.85,0.016,100,68.5714,36,175,251,0.9,1
ArrowHead,0.94,0.019,100,70.2857,36,175,251,0.9,1
ArrowHead,1.07,0.017,100,70.2857,36,175,251,0.9,1
ArrowHead,0.71,0.012,100,67.4286,36,175,251,0.9,1
ArrowHead,0.94,0.02,100,70.8571,36,175,251,0.9,1
ArrowHead,1,0.015,100,66.2857,36,175,251,0.9,1
ArrowHead,0.94,0.013,100,68,36,175,251,0.9,1
ArrowHead,0.95,0.02,100,69.1429,36,175,251,0.9,1
ArrowHead,0.76,0.009,100,63.4286,36,175,251,0.9,1
ArrowHead,0.87,0.023,100,69.1429,36,175,251,0.9,1
ArrowHead,3.12,0.035,100,66.2857,36,175,251,0.9,1
ArrowHead,0.7,0.014,100,68.5714,36,175,251,0.9,1
ArrowHead,0.94,0.021,100,68.5714,36,175,251,0.9,1
ArrowHead,0.63,0.009,100,69.7143,36,175,251,0.9,1
ArrowHead,0.67,0.01,100,68.5714,36,175,251,0.9,1
ArrowHead,0.77,0.012,100,63.4286,36,175,251,0.9,1
ArrowHead,0.81,0.015,100,69.1429,36,175,251,0.9,1
ArrowHead,0.85,0.014,100,67.4286,36,175,251,0.9,1
ArrowHead,0.62,0.015,100,67.4286,36,175,251,0.9,1
ArrowHead,0.69,0.013,100,69.1429,36,175,251,0.9,1
ArrowHead,0.92,0.018,100,67.4286,36,175,251,0.9,1
ArrowHead,0.98,0.018,100,68.5714,36,175,251,0.9,1
ArrowHead,0.59,0.011,100,67.4286,36,175,251,0.9,1
ArrowHead,1.09,0.017,100,67.4286,36,175,251,0.9,1
ArrowHead,0.82,0.016,100,67.4286,36,175,251,0.9,1
ArrowHead,0.87,0.02,100,70.2857,36,175,251,0.9,1
ArrowHead,0.64,0.007,100,66.8571,36,175,251,0.9,1
ArrowHead,0.66,0.011,100,67.4286,36,175,251,0.9,1
ArrowHead,0.9,0.011,100,70.2857,36,175,251,0.9,1
ArrowHead,0.93,0.016,100,66.8571,36,175,251,0.9,1
ArrowHead,0.96,0.011,100,68,36,175,251,0.9,1
ArrowHead,0.97,0.02,100,69.7143,36,175,251,0.9,1
ArrowHead,0.99,0.015,100,68.5714,36,175,251,0.9,1
ArrowHead,0.69,0.012,100,69.1429,36,175,251,0.9,1
ArrowHead,0.78,0.005,100,60,36,175,251,0.9,1
ArrowHead,0.81,0.016,100,69.7143,36,175,251,0.9,1
ArrowHead,0.86,0.019,100,67.4286,36,175,251,0.9,1
ArrowHead,0.59,0.008,100,69.1429,36,175,251,0.9,1
ArrowHead,0.66,0.01,100,69.7143,36,175,251,0.9,1
ArrowHead,0.69,0.016,100,67.4286,36,175,251,0.9,1
ArrowHead,0.85,0.021,100,69.7143,36,175,251,0.9,1
ArrowHead,0.91,0.017,100,69.1429,36,175,251,0.9,1
ArrowHead,2.47,0.032,100,67.4286,36,175,251,0.9,1
ArrowHead,0.58,0.011,100,68.5714,36,175,251,0.9,1
ArrowHead,0.64,0.012,100,69.7143,36,175,251,0.9,1
ArrowHead,0.87,0.02,100,69.1429,36,175,251,0.9,1
ArrowHead,0.95,0.023,100,66.8571,36,175,251,0.9,1
ArrowHead,0.59,0.012,100,69.7143,36,175,251,0.9,1
ArrowHead,0.81,0.015,100,65.7143,36,175,251,0.9,1
ArrowHead,0.88,0.019,100,68.5714,36,175,251,0.9,1
ArrowHead,0.86,0.014,100,66.8571,36,175,251,0.9,1
ArrowHead,0.63,0.008,100,68.5714,36,175,251,0.9,1
ArrowHead,0.64,0.013,100,68,36,175,251,0.9,1
ArrowHead,0.88,0.018,100,70.2857,36,175,251,0.9,1
ArrowHead,0.91,0.016,100,70.8571,36,175,251,0.9,1
ArrowHead,0.93,0.016,100,67.4286,36,175,251,0.9,1
ArrowHead,0.99,0.013,100,66.8571,36,175,251,0.9,1
ArrowHead,0.69,0.008,100,68,36,175,251,0.9,1
ArrowHead,0.68,0.012,100,67.4286,36,175,251,0.9,1
ArrowHead,0.86,0.019,100,66.8571,36,175,251,0.9,1
ArrowHead,0.97,0.019,100,68,36,175,251,0.9,1
ArrowHead,1.13,0.015,100,68,36,175,251,0.9,1
ArrowHead,0.63,0.009,100,68.5714,36,175,251,0.9,1
ArrowHead,0.63,0.011,100,67.4286,36,175,251,0.9,1
ArrowHead,0.66,0.009,100,68.5714,36,175,251,0.9,1
ArrowHead,0.93,0.024,100,66.8571,36,175,251,0.9,1
ArrowHead,0.92,0.018,100,67.4286,36,175,251,0.9,1
ArrowHead,0.58,0.008,100,65.7143,36,175,251,0.9,1
