Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
ArrowHead,5.61,0.172,100,68,36,175,251,0.9,1,10
ArrowHead,5.98,0.171,100,68,36,175,251,0.9,1,10
ArrowHead,5.83,0.174,100,67.4286,36,175,251,0.9,1,10
ArrowHead,6.13,0.175,100,66.8571,36,175,251,0.9,1,10
ArrowHead,6.07,0.176,100,68,36,175,251,0.9,1,10
ArrowHead,6.31,0.186,100,68.5714,36,175,251,0.9,1,10
ArrowHead,3.71,0.086,100,68,36,175,251,0.9,1,10
ArrowHead,5.85,0.175,100,68,36,175,251,0.9,1,10
ArrowHead,5.98,0.184,100,68.5714,36,175,251,0.9,1,10
ArrowHead,3.89,0.093,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.43,0.163,100,68,36,175,251,0.9,1,10
ArrowHead,5.77,0.18,100,66.8571,36,175,251,0.9,1,10
ArrowHead,6.02,0.181,100,68,36,175,251,0.9,1,10
ArrowHead,3.94,0.088,100,68,36,175,251,0.9,1,10
ArrowHead,6.17,0.178,100,68,36,175,251,0.9,1,10
ArrowHead,3.84,0.087,100,68,36,175,251,0.9,1,10
ArrowHead,3.96,0.103,100,70.2857,36,175,251,0.9,1,10
ArrowHead,4.05,0.108,100,68,36,175,251,0.9,1,10
ArrowHead,3.83,0.098,100,68,36,175,251,0.9,1,10
ArrowHead,8.14,0.176,100,66.8571,36,175,251,0.9,1,10
ArrowHead,3.83,0.105,100,66.8571,36,175,251,0.9,1,10
ArrowHead,6.01,0.166,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.76,0.181,100,67.4286,36,175,251,0.9,1,10
ArrowHead,6.15,0.168,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.94,0.193,100,68,36,175,251,0.9,1,10
ArrowHead,6.04,0.174,100,68,36,175,251,0.9,1,10
ArrowHead,5.98,0.184,100,68,36,175,251,0.9,1,10
ArrowHead,6.27,0.193,100,70.2857,36,175,251,0.9,1,10
ArrowHead,3.83,0.106,100,68.5714,36,175,251,0.9,1,10
ArrowHead,5.91,0.175,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.8,0.167,100,68,36,175,251,0.9,1,10
ArrowHead,3.92,0.102,100,69.7143,36,175,251,0.9,1,10
ArrowHead,3.89,0.1,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.82,0.171,100,68,36,175,251,0.9,1,10
ArrowHead,3.83,0.096,100,70.8571,36,175,251,0.9,1,10
ArrowHead,5.9,0.155,100,68,36,175,251,0.9,1,10
ArrowHead,5.5,0.168,100,68,36,175,251,0.9,1,10
ArrowHead,5.67,0.168,100,67.4286,36,175,251,0.9,1,10
ArrowHead,6.02,0.181,100,68,36,175,251,0.9,1,10
ArrowHead,4.03,0.109,100,68,36,175,251,0.9,1,10
ArrowHead,5.87,0.174,100,68,36,175,251,0.9,1,10
ArrowHead,3.81,0.084,100,68,36,175,251,0.9,1,10
ArrowHead,3.74,0.096,100,69.1429,36,175,251,0.9,1,10
ArrowHead,4.02,0.103,100,66.8571,36,175,251,0.9,1,10
ArrowHead,3.88,0.098,100,68.5714,36,175,251,0.9,1,10
ArrowHead,4.01,0.11,100,68.5714,36,175,251,0.9,1,10
ArrowHead,5.76,0.143,100,68,36,175,251,0.9,1,10
ArrowHead,5.56,0.148,100,68,36,175,251,0.9,1,10
ArrowHead,5.91,0.157,100,68,36,175,251,0.9,1,10
ArrowHead,5.54,0.177,100,67.4286,36,175,251,0.9,1,10
ArrowHead,5.78,0.162,100,68,36,175,251,0.9,1,10
ArrowHead,5.96,0.17,100,68,36,175,251,0.9,1,10
ArrowHead,5.96,0.174,100,68,36,175,251,0.9,1,10
ArrowHead,16.46,0.332,100,66.8571,36,175,251,0.9,1,10
ArrowHead,3.99,0.081,100,68,36,175,251,0.9,1,10
ArrowHead,5.7,0.176,100,68.5714,36,175,251,0.9,1,10
ArrowHead,6.37,0.17,100,68.5714,36,175,251,0.9,1,10
