Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
Plane,29.26,0.1560,100.0000,96.1905,105,105,144,36,96,10
Plane,30.61,0.1630,100.0000,97.1429,105,105,144,36,96,10
Symbols,82.25,10.0790,100.0000,81.3065,25,995,398,99,265,10
Symbols,81.24,10.2320,100.0000,83.4171,25,995,398,99,265,10
Symbols,80.08,10.1910,100.0000,79.2965,25,995,398,99,265,10
Symbols,82.93,10.3690,100.0000,82.5126,25,995,398,99,265,10
Symbols,81.92,10.2640,100.0000,82.7136,25,995,398,99,265,10
Symbols,80.43,10.1620,100.0000,83.8191,25,995,398,99,265,10
Symbols,80.20,9.9030,100.0000,82.6131,25,995,398,99,265,10
Symbols,81.80,10.2420,100.0000,82.9146,25,995,398,99,265,10
Symbols,81.86,10.2630,100.0000,82.3116,25,995,398,99,265,10
Symbols,82.68,10.4000,100.0000,81.8090,25,995,398,99,265,10
ToeSegmentation1,123.89,0.3460,100.0000,90.7895,40,228,277,69,184,10
ToeSegmentation1,122.86,0.3670,100.0000,90.7895,40,228,277,69,184,10
ToeSegmentation1,128.02,0.3350,100.0000,91.2281,40,228,277,69,184,10
ToeSegmentation1,131.32,0.3440,100.0000,90.3509,40,228,277,69,184,10
ToeSegmentation1,117.69,0.3660,100.0000,90.3509,40,228,277,69,184,10
ToeSegmentation1,119.99,0.3650,100.0000,90.3509,40,228,277,69,184,10
ToeSegmentation1,119.88,0.3710,100.0000,90.3509,40,228,277,69,184,10
ToeSegmentation1,126.16,0.3450,100.0000,90.3509,40,228,277,69,184,10
ToeSegmentation1,124.19,0.3430,100.0000,91.2281,40,228,277,69,184,10
ToeSegmentation1,122.92,0.3610,100.0000,90.3509,40,228,277,69,184,10
Trace,84.85,0.2730,100.0000,100.0000,100,100,275,68,183,10
Trace,84.53,0.3010,100.0000,100.0000,100,100,275,68,183,10
Trace,84.52,0.2810,100.0000,100.0000,100,100,275,68,183,10
Trace,83.32,0.3030,100.0000,100.0000,100,100,275,68,183,10
Trace,84.89,0.2730,100.0000,100.0000,100,100,275,68,183,10
Trace,85.31,0.2750,100.0000,98.0000,100,100,275,68,183,10
Trace,85.53,0.2830,100.0000,100.0000,100,100,275,68,183,10
Trace,83.27,0.2950,100.0000,100.0000,100,100,275,68,183,10
Trace,86.81,0.2820,100.0000,100.0000,100,100,275,68,183,10
Trace,83.94,0.2940,100.0000,100.0000,100,100,275,68,183,10
Wine,953.60,0.0840,100.0000,70.3704,57,54,234,58,156,10
Wine,942.47,0.1070,100.0000,66.6667,57,54,234,58,156,10
Wine,1004.44,0.1120,100.0000,55.5556,57,54,234,58,156,10
Wine,907.13,0.1000,100.0000,81.4815,57,54,234,58,156,10
Wine,924.10,0.1170,100.0000,75.9259,57,54,234,58,156,10
Wine,915.38,0.0940,100.0000,66.6667,57,54,234,58,156,10
