Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ArrowHead,11.26,0.02,100,66.8571,36,175,251,0.25,0.67
ArrowHead,9.05,0.024,100,68,36,175,251,0.25,0.67
ArrowHead,17.26,0.025,100,62.2857,36,175,251,0.25,0.67
ArrowHead,16.07,0.042,100,66.2857,36,175,251,0.25,0.67
ArrowHead,9.04,0.022,100,65.1429,36,175,251,0.25,0.67
ArrowHead,11.01,0.012,100,50.8571,36,175,251,0.25,0.67
ArrowHead,11.12,0.019,100,67.4286,36,175,251,0.25,0.67
ArrowHead,15.41,0.041,100,64.5714,36,175,251,0.25,0.67
ArrowHead,19.96,0.043,100,65.1429,36,175,251,0.25,0.67
Beef,72.6,0.034,100,46.6667,30,30,470,0.25,0.67
Beef,76.07,0.03,100,50,30,30,470,0.25,0.67
Beef,95.61,0.032,100,46.6667,30,30,470,0.25,0.67
Beef,100.3,0.024,100,60,30,30,470,0.25,0.67
Beef,106.84,0.021,100,56.6667,30,30,470,0.25,0.67
Beef,101,0.023,100,50,30,30,470,0.25,0.67
Beef,83.6,0.022,100,53.3333,30,30,470,0.25,0.67
Beef,85.45,0.023,100,53.3333,30,30,470,0.25,0.67
Beef,86.89,0.024,100,60,30,30,470,0.25,0.67
Beef,104.28,0.021,100,53.3333,30,30,470,0.25,0.67
Beef,139.8,0.045,100,53.3333,30,30,470,0.25,0.67
Beef,161.54,0.039,100,46.6667,30,30,470,0.25,0.67
Beef,150.7,0.048,100,53.3333,30,30,470,0.25,0.67
Beef,98.73,0.02,100,63.3333,30,30,470,0.25,0.67
Beef,103.41,0.023,100,50,30,30,470,0.25,0.67
Beef,178.1,0.044,100,56.6667,30,30,470,0.25,0.67
Beef,153.19,0.046,100,60,30,30,470,0.25,0.67
Beef,182.75,0.041,100,50,30,30,470,0.25,0.67
Beef,193.13,0.037,100,56.6667,30,30,470,0.25,0.67
Beef,159.71,0.049,100,53.3333,30,30,470,0.25,0.67
Beef,143.16,0.039,100,60,30,30,470,0.25,0.67
Beef,95.42,0.03,100,53.3333,30,30,470,0.25,0.67
Beef,88.03,0.026,100,56.6667,30,30,470,0.25,0.67
Beef,150.48,0.042,100,60,30,30,470,0.25,0.67
Beef,159.29,0.046,100,60,30,30,470,0.25,0.67
Beef,159.87,0.048,100,63.3333,30,30,470,0.25,0.67
Beef,99.32,0.029,100,43.3333,30,30,470,0.25,0.67
Beef,107.84,0.021,100,63.3333,30,30,470,0.25,0.67
Beef,170.42,0.043,100,50,30,30,470,0.25,0.67
Beef,192.81,0.044,100,50,30,30,470,0.25,0.67
Beef,184.57,0.039,100,50,30,30,470,0.25,0.67
Beef,171.74,0.043,100,53.3333,30,30,470,0.25,0.67
Beef,157.84,0.045,100,50,30,30,470,0.25,0.67
Beef,107.61,0.031,100,60,30,30,470,0.25,0.67
Beef,90.32,0.027,100,56.6667,30,30,470,0.25,0.67
Beef,92.22,0.026,100,63.3333,30,30,470,0.25,0.67
Beef,185.96,0.041,100,63.3333,30,30,470,0.25,0.67
Beef,128.92,0.051,100,46.6667,30,30,470,0.25,0.67
Beef,88.98,0.024,100,53.3333,30,30,470,0.25,0.67
Beef,186.03,0.042,100,56.6667,30,30,470,0.25,0.67
Beef,178.21,0.039,100,56.6667,30,30,470,0.25,0.67
Beef,179.43,0.04,100,53.3333,30,30,470,0.25,0.67
Beef,154.05,0.043,100,66.6667,30,30,470,0.25,0.67
Beef,149.16,0.044,100,33.3333,30,30,470,0.25,0.67
Beef,170.31,0.038,100,50,30,30,470,0.25,0.67
Beef,171.73,0.042,100,43.3333,30,30,470,0.25,0.67
Beef,179.57,0.038,100,53.3333,30,30,470,0.25,0.67
Beef,155.84,0.04,100,56.6667,30,30,470,0.25,0.67
Beef,139.18,0.046,100,43.3333,30,30,470,0.25,0.67
Beef,89.29,0.029,100,63.3333,30,30,470,0.25,0.67
Beef,190.25,0.041,100,56.6667,30,30,470,0.25,0.67
Beef,103.32,0.024,100,56.6667,30,30,470,0.25,0.67
Beef,77.66,0.029,100,43.3333,30,30,470,0.25,0.67
Beef,174.83,0.039,100,53.3333,30,30,470,0.25,0.67
Beef,177.03,0.047,100,50,30,30,470,0.25,0.67
Beef,178.34,0.051,100,53.3333,30,30,470,0.25,0.67
Beef,138.99,0.053,100,53.3333,30,30,470,0.25,0.67
Beef,185.58,0.038,100,56.6667,30,30,470,0.25,0.67
Beef,150.94,0.038,100,60,30,30,470,0.25,0.67
Beef,84.6,0.026,100,60,30,30,470,0.25,0.67
Beef,83.7,0.024,100,46.6667,30,30,470,0.25,0.67
Beef,108.23,0.03,100,46.6667,30,30,470,0.25,0.67
Beef,182.78,0.042,100,50,30,30,470,0.25,0.67
Beef,150.75,0.043,100,56.6667,30,30,470,0.25,0.67
Beef,300.11,0.093,100,63.3333,30,30,470,0.25,0.67
Beef,90.92,0.026,100,50,30,30,470,0.25,0.67
Beef,298.42,0.088,100,50,30,30,470,0.25,0.67
Beef,101.2,0.022,100,56.6667,30,30,470,0.25,0.67
Beef,154.84,0.045,100,63.3333,30,30,470,0.25,0.67
Beef,138.63,0.047,100,50,30,30,470,0.25,0.67
Beef,304.07,0.084,100,63.3333,30,30,470,0.25,0.67
Beef,183.62,0.043,100,56.6667,30,30,470,0.25,0.67
Beef,141.66,0.044,100,56.6667,30,30,470,0.25,0.67
Beef,105.61,0.022,100,60,30,30,470,0.25,0.67
Beef,155.72,0.035,100,50,30,30,470,0.25,0.67
Beef,165.06,0.046,100,70,30,30,470,0.25,0.67
Beef,167.94,0.043,100,56.6667,30,30,470,0.25,0.67
Beef,171.1,0.04,100,53.3333,30,30,470,0.25,0.67
Beef,164.25,0.046,100,53.3333,30,30,470,0.25,0.67
Beef,191.92,0.037,100,50,30,30,470,0.25,0.67
Beef,178.97,0.037,100,56.6667,30,30,470,0.25,0.67
Beef,210.48,0.033,100,60,30,30,470,0.25,0.67
Beef,187.02,0.037,100,46.6667,30,30,470,0.25,0.67
Beef,187.9,0.033,100,46.6667,30,30,470,0.25,0.67
Beef,188.54,0.036,100,63.3333,30,30,470,0.25,0.67
Beef,153.71,0.038,100,56.6667,30,30,470,0.25,0.67
Beef,276.92,0.101,100,53.3333,30,30,470,0.25,0.67
Beef,150.17,0.036,100,56.6667,30,30,470,0.25,0.67
Beef,284.67,0.081,100,50,30,30,470,0.25,0.67
Beef,177.79,0.035,100,53.3333,30,30,470,0.25,0.67
Beef,141.77,0.038,100,40,30,30,470,0.25,0.67
Beef,170.93,0.031,100,53.3333,30,30,470,0.25,0.67
Beef,153.62,0.043,100,53.3333,30,30,470,0.25,0.67
Beef,163.05,0.051,100,50,30,30,470,0.25,0.67
Beef,358.14,0.07,100,56.6667,30,30,470,0.25,0.67
Beef,186.36,0.036,100,60,30,30,470,0.25,0.67
Beef,301.14,0.072,100,50,30,30,470,0.25,0.67
Beef,296.97,0.08,100,56.6667,30,30,470,0.25,0.67
Beef,404.19,0.075,100,56.6667,30,30,470,0.25,0.67
Beef,341.21,0.093,100,46.6667,30,30,470,0.25,0.67
BeetleFly,15.59,0.006,100,65,20,20,512,0.25,0.67
BeetleFly,16.14,0.006,100,80,20,20,512,0.25,0.67
BeetleFly,15.17,0.006,100,75,20,20,512,0.25,0.67
BeetleFly,3.77,0.007,100,65,20,20,512,0.25,0.67
BeetleFly,4.14,0.007,100,65,20,20,512,0.25,0.67
BeetleFly,15.14,0.006,100,75,20,20,512,0.25,0.67
BeetleFly,16.13,0.008,100,65,20,20,512,0.25,0.67
BeetleFly,3.88,0.007,100,80,20,20,512,0.25,0.67
